Date,total,returns
2022-04-10,11904100.314686138,-0.013427680050824398
2022-04-11,11146615.513894161,-0.06363225953812446
2022-04-12,11317326.865610918,0.01531508389286107
2022-04-13,11610516.93585377,0.025906300465151855
2022-04-14,11263269.519499307,-0.02990800653174608
2022-04-15,11437553.699663697,0.015473675726454417
2022-04-16,11401176.511099912,-0.0031805042860567623
2022-04-17,11201626.93630415,-0.017502542356175765
2022-04-18,11514479.13090867,0.027929174608607443
2022-04-19,11705286.678651715,0.016571096753378534
2022-04-20,11669081.356026206,-0.003093074404708074
2022-04-21,11430192.108640855,-0.020471984048854197
2022-04-22,11208217.334014215,-0.019420038833716124
2022-04-23,11136695.764482357,-0.0063811726165237115
2022-04-24,11131777.754556293,-0.0004416040475622163
2022-04-25,11410716.172378989,0.02505785005530914
2022-04-26,10750511.899470417,-0.057858267871623736
2022-04-27,11067424.977719083,0.029478882606909007
2022-04-28,11217667.757209955,0.013575224570606004
2022-04-29,10889376.2724836,-0.029265573899293962
2022-04-30,10636968.006325234,-0.023179313474195773
2022-05-01,10849685.15608433,0.019997911964443782
2022-05-02,10866673.443060119,0.001565786170879102
2022-05-03,10647002.333029222,-0.020215120218891602
2022-05-04,11196386.126891451,0.051599856624237495
2022-05-05,10315521.41310216,-0.07867402068901796
2022-05-06,10164852.273879796,-0.014606061408683813
2022-05-07,10012843.461702662,-0.014954355270636377
2022-05-08,9605953.056242606,-0.040636848764922684
2022-05-09,9605953.056242606,0.0
2022-05-10,9605953.056242606,0.0
2022-05-11,9605953.056242606,0.0
2022-05-12,9605953.056242606,0.0
2022-05-13,9605953.056242606,0.0
2022-05-14,9605953.056242606,0.0
2022-05-15,9605953.056242606,0.0
2022-05-16,9605953.056242606,0.0
2022-05-17,9605953.056242606,0.0
2022-05-18,9605953.056242606,0.0
2022-05-19,9605953.056242606,0.0
2022-05-20,9605953.056242606,0.0
2022-05-21,9605953.056242606,0.0
2022-05-22,9605953.056242606,0.0
2022-05-23,9605953.056242606,0.0
2022-05-24,9605953.056242606,0.0
2022-05-25,9605953.056242606,0.0
2022-05-26,9605953.056242606,0.0
2022-05-27,9605953.056242606,0.0
2022-05-28,9605953.056242606,0.0
2022-05-29,9605953.056242606,0.0
2022-05-30,9605953.056242606,0.0
2022-05-31,9605953.056242606,0.0
2022-06-01,9605953.056242606,0.0
2022-06-02,9605953.056242606,0.0
2022-06-03,9605953.056242606,0.0
2022-06-04,9605953.056242606,0.0
2022-06-05,9605953.056242606,0.0
